"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Twists and Turns","G","U","28604","4.44","4668","5.76","2752","70.9%","53.5%","445","","755","55.4%","1200","53.5%","1549","53.5%","0.0pp"
"Over the Edge","G","C","85179","7.03","8054","10.42","2516","37.3%","51.2%","409","","613","53.0%","1022","53.4%","1485","49.4%","4.0pp"
"Tithing Blade","B","C","65254","4.91","10146","6.71","6825","81.6%","53.1%","1172","50.6%","1758","55.0%","2930","53.2%","3879","52.8%","0.4pp"
"Fungal Fortitude","B","C","87826","7.59","8779","11.21","2874","36.9%","52.1%","470","","729","54.9%","1199","53.0%","1672","51.6%","1.4pp"
"Coati Scavenger","G","U","24162","4.45","3945","5.81","5285","93.3%","53.2%","886","49.4%","1313","55.1%","2199","52.8%","3024","53.2%","-0.4pp"
"Digsite Conservator","","U","27149","4.49","5802","6.10","1314","74.7%","53.2%","223","","325","","548","52.6%","760","53.7%","-1.1pp"
"Malamet Veteran","G","C","85109","6.95","8150","10.39","6033","65.5%","51.7%","929","49.5%","1534","54.0%","2463","52.3%","3532","51.2%","1.1pp"
"Squirming Emergence","BG","R","6354","3.85","1016","4.89","1536","82.3%","50.1%","243","","398","","641","52.3%","892","48.3%","3.9pp"
"Grasping Shadows","B","U","30300","4.74","4878","6.31","3371","79.6%","52.7%","560","48.4%","871","54.3%","1431","52.0%","1929","53.0%","-1.0pp"
"Walk with the Ancestors","G","C","88693","7.65","8657","11.24","2565","33.8%","51.3%","381","","661","53.3%","1042","51.9%","1520","50.8%","1.1pp"
"Seeker of Sunlight","G","C","85815","7.29","7475","11.00","1974","33.1%","50.5%","383","","446","","829","51.9%","1135","49.6%","2.3pp"
"Screaming Phantom","B","C","82012","6.52","9617","9.30","7194","72.2%","51.9%","1253","51.4%","1723","51.9%","2976","51.7%","4175","51.9%","-0.2pp"
"Greedy Freebooter","B","C","82951","6.75","9268","9.83","3723","48.3%","50.9%","632","54.9%","880","49.1%","1512","51.5%","2198","50.5%","1.1pp"
"Basking Capybara","G","C","87304","7.22","8855","10.51","7633","66.4%","52.1%","1347","49.4%","1783","52.5%","3130","51.2%","4457","52.7%","-1.5pp"
"Compass Gnome","","C","84049","6.11","12669","8.72","1780","44.5%","51.6%","340","","396","","736","50.8%","1036","52.3%","-1.5pp"
"Glimpse the Core","G","U","28749","5.59","3305","7.98","1670","57.5%","49.7%","292","","388","","680","50.4%","990","49.2%","1.2pp"
"Broodrage Mycoid","B","C","77334","5.88","9316","8.46","7001","71.9%","51.0%","1164","49.7%","1750","50.9%","2914","50.4%","4045","51.3%","-0.9pp"
"Deep Goblin Skulltaker","B","C","78492","6.08","8548","8.86","4681","61.7%","50.2%","796","44.8%","1081","51.2%","1877","48.5%","2783","51.4%","-2.9pp"
"Gargantuan Leech","B","U","31050","6.32","3704","8.92","1418","47.6%","49.2%","220","","349","","569","48.3%","824","49.6%","-1.3pp"
"Malamet Brawler","G","C","87954","7.44","9349","10.67","2429","33.8%","48.5%","404","","531","49.7%","935","47.5%","1487","49.3%","-1.8pp"
"Vito's Inquisitor","B","C","86088","7.30","9139","10.63","2290","34.0%","48.5%","362","","553","46.7%","915","47.2%","1368","49.3%","-2.1pp"
"Kaslem's Stonetree","G","C","84862","7.58","8028","11.25","1688","26.8%","48.5%","304","","380","","684","46.5%","995","49.6%","-3.2pp"
"Mephitic Draught","B","C","84205","6.83","11002","9.51","2425","33.5%","47.5%","412","","571","46.4%","983","46.3%","1438","48.3%","-2.0pp"
"Acolyte of Aclazotz","B","C","86952","7.36","10000","10.42","2124","31.1%","47.5%","357","","523","43.6%","880","44.1%","1235","49.9%","-5.8pp"
"Abuelo's Awakening","W","R","6905","4.16","1242","5.38","15","","","1","","5","","6","","9","",""
"Acrobatic Leap","W","C","93048","8.74","12235","12.08","0","0.0%","","0","","0","","0","","0","",""
"Adaptive Gemguard","W","C","76332","5.80","12881","7.97","0","0.0%","","0","","0","","0","","0","",""
"Attentive Sunscribe","W","C","80634","6.02","13795","8.26","0","0.0%","","0","","0","","0","","0","",""
"Bat Colony","W","U","30953","6.45","4208","8.89","269","22.5%","","38","","63","","101","","163","",""
